Loyalty Number,Year,Month,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed,Month Start,Post Enrollment,Months Since Enrollment
100018,2017,1,1,601,601.0,0,0,2017-01-01,True,5
100018,2017,2,0,0,0.0,0,0,2017-02-01,True,6
100018,2017,3,4,9648,9648.0,438,79,2017-03-01,True,7
100018,2017,4,1,1654,1654.0,0,0,2017-04-01,True,8
100018,2017,5,0,0,0.0,0,0,2017-05-01,True,9
100018,2017,6,1,2489,2489.0,0,0,2017-06-01,True,10
100018,2017,7,3,3687,3687.0,0,0,2017-07-01,True,11
100018,2017,8,3,7116,7116.0,690,124,2017-08-01,True,12
100018,2017,9,3,5751,5751.0,0,0,2017-09-01,True,13
100018,2017,10,2,3728,3728.0,0,0,2017-10-01,True,14
100018,2017,11,4,2028,2028.0,0,0,2017-11-01,True,15
100018,2017,12,2,1058,1058.0,0,0,2017-12-01,True,16
100018,2018,1,0,0,0.0,0,0,2018-01-01,True,17
100018,2018,2,2,4908,4908.0,0,0,2018-02-01,True,18
100018,2018,3,2,1414,1414.0,0,0,2018-03-01,True,19
100018,2018,4,1,731,731.0,0,0,2018-04-01,True,20
100018,2018,5,0,0,0.0,0,0,2018-05-01,True,21
100018,2018,6,0,0,0.0,0,0,2018-06-01,True,22
100018,2018,7,3,3972,3972.0,0,0,2018-07-01,True,23
100018,2018,8,0,0,0.0,0,0,2018-08-01,True,24
100018,2018,9,4,8932,8932.0,0,0,2018-09-01,True,25
100018,2018,10,2,4720,4720.0,385,69,2018-10-01,True,26
100018,2018,11,3,6693,6693.0,0,0,2018-11-01,True,27
100018,2018,12,5,12060,12060.0,0,0,2018-12-01,True,28
100102,2017,1,3,3030,3030.0,0,0,2017-01-01,True,46
100102,2017,2,0,0,0.0,0,0,2017-02-01,True,47
100102,2017,3,5,7675,7675.0,685,123,2017-03-01,True,48
100102,2017,4,3,7056,7056.0,0,0,2017-04-01,True,49
100102,2017,5,0,0,0.0,0,0,2017-05-01,True,50
100102,2017,6,0,0,0.0,0,0,2017-06-01,True,51
100102,2017,7,0,0,0.0,0,0,2017-07-01,True,52
100102,2017,8,4,6684,6684.0,0,0,2017-08-01,True,53
100102,2017,9,3,5040,5040.0,0,0,2017-09-01,True,54
100102,2017,10,1,1426,1426.0,0,0,2017-10-01,True,55
100102,2017,11,3,3810,3810.0,0,0,2017-11-01,True,56
100102,2017,12,3,5163,5163.0,510,92,2017-12-01,True,57
100102,2018,1,0,0,0.0,0,0,2018-01-01,True,58
100102,2018,2,2,3742,3742.0,0,0,2018-02-01,True,59
100102,2018,3,0,0,0.0,0,0,2018-03-01,True,60
100102,2018,4,3,1569,1569.0,0,0,2018-04-01,True,61
100102,2018,5,2,3236,3236.0,0,0,2018-05-01,True,62
100102,2018,6,2,1692,1692.0,0,0,2018-06-01,True,63
