Loyalty Number,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Cohort,Status,Enrollment Date,Cancellation Date,Tenure Months,Salary Clean,Salary Missing,CLV Band,Card Rank
480934,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,,Pre-2018 Standard,Active,2016-02-01,,34,83236.0,False,<4k,3
549612,Alberta,Edmonton,T3G 6Y6,Male,College,,Divorced,Star,3839.61,Standard,2016,3,,,Pre-2018 Standard,Active,2016-03-01,,33,,True,<4k,3
429460,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,Pre-2018 Standard,Cancelled,2014-07-01,2018-01-01,42,,True,<4k,3
608370,Ontario,Toronto,P1W 1K4,Male,College,,Single,Star,3839.75,Standard,2013,2,,,Pre-2018 Standard,Active,2013-02-01,,70,,True,<4k,3
530508,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,,Pre-2018 Standard,Active,2014-10-01,,50,103495.0,False,<4k,3
193662,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,,Pre-2018 Standard,Active,2012-05-01,,79,51124.0,False,<4k,3
927943,Ontario,Toronto,P5S 6R4,Female,College,,Single,Star,3857.95,Standard,2014,6,,,Pre-2018 Standard,Active,2014-06-01,,54,,True,<4k,3
188893,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,,Pre-2018 Standard,Active,2016-12-01,,24,100159.0,False,<4k,3
852392,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,,Pre-2018 Standard,Active,2015-05-01,,43,100159.0,False,<4k,3
866307,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,,Pre-2018 Standard,Active,2016-10-01,,26,100159.0,False,<4k,3
932823,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,,Pre-2018 Standard,Active,2015-03-01,,45,66444.0,False,<4k,3
144514,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,,,Pre-2018 Standard,Active,2016-06-01,,30,49618.0,False,<4k,3
611765,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,,,2018 Standard,Active,2018-01-01,,11,90175.0,False,<4k,3
988178,Quebec,Montreal,H4G 3T4,Male,College,,Single,Star,3871.07,Standard,2013,10,,,Pre-2018 Standard,Active,2013-10-01,,62,,True,<4k,3
286114,Ontario,Toronto,M2M 7K8,Female,College,,Single,Star,3872.22,Standard,2016,11,,,Pre-2018 Standard,Active,2016-11-01,,25,,True,<4k,3
205785,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,,,Pre-2018 Standard,Active,2016-08-01,,28,128118.0,False,<4k,3
735304,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,,,Pre-2018 Standard,Active,2016-12-01,,24,128118.0,False,<4k,3
438936,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,,,Pre-2018 Standard,Active,2013-10-01,,62,94092.0,False,<4k,3
172755,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,5303.76,2018 Promotion,2018,3,,,2018 Promotion,Active,2018-03-01,,9,,True,4-6k,1
354730,New Brunswick,Fredericton,E3B 2H2,Female,College,,Married,Star,3885.46,Standard,2014,10,2018.0,1.0,Pre-2018 Standard,Cancelled,2014-10-01,2018-01-01,39,,True,<4k,3
413741,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,3885.46,Standard,2015,7,,,Pre-2018 Standard,Active,2015-07-01,,41,,True,<4k,3
552965,Quebec,Montreal,H4G 3T4,Male,College,,Married,Star,3885.46,Standard,2018,11,,,2018 Standard,Active,2018-11-01,,1,,True,<4k,3
642313,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Star,3885.46,Standard,2016,3,,,Pre-2018 Standard,Active,2016-03-01,,33,,True,<4k,3
263080,Alberta,Edmonton,T9G 1W3,Male,College,,Single,Star,3886.5,Standard,2014,5,,,Pre-2018 Standard,Active,2014-05-01,,55,,True,<4k,3
109767,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,,,Pre-2018 Standard,Active,2016-05-01,,31,89062.0,False,<4k,3
217754,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,,,Pre-2018 Standard,Active,2015-06-01,,42,102400.0,False,<4k,3
157005,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,,,Pre-2018 Standard,Active,2016-10-01,,26,98629.0,False,<4k,3
557752,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,,,Pre-2018 Standard,Active,2017-10-01,,14,98629.0,False,<4k,3
608758,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,,,Pre-2018 Standard,Active,2013-07-01,,65,63795.0,False,<4k,3
599341,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,,,Pre-2018 Standard,Active,2015-11-01,,37,54890.0,False,<4k,3
333502,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,3891.58,Standard,2014,3,,,Pre-2018 Standard,Active,2014-03-01,,57,,True,<4k,3
